"","wk","cr","cr_other","trend","lcr","lcro","post","wk_num"
"73",2015-05-24,41,980,73,3.71357206670431,6.88755257166462,0,"21"
"74",2015-05-31,40,1058,74,3.68887945411394,6.96413561241824,0,"22"
"75",2015-06-07,40,999,75,3.68887945411394,6.90675477864855,0,"23"
"76",2015-06-14,44,1065,76,3.78418963391826,6.97073007814353,0,"24"
"77",2015-06-21,42,1001,77,3.73766961828337,6.90875477931522,0,"25"
"78",2015-06-28,44,962,78,3.78418963391826,6.86901445066571,0,"26"
"79",2015-07-05,42,1027,79,3.73766961828337,6.93439720992856,0,"27"
"80",2015-07-12,36,1022,80,3.58351893845611,6.92951677076365,0,"28"
"81",2015-07-19,45,954,81,3.80666248977032,6.86066367144829,0,"29"
"82",2015-07-26,42,1018,82,3.73766961828337,6.92559519711047,0,"30"
"83",2015-08-02,60,1123,83,4.0943445622221,7.02375895473844,0,"31"
"84",2015-08-09,37,975,84,3.61091791264422,6.88243747099785,0,"32"
"85",2015-08-16,36,1073,85,3.58351893845611,6.9782137426307,0,"33"
"86",2015-08-23,43,1214,86,3.76120011569356,7.10167597161944,0,"34"
"87",2015-08-30,36,1040,87,3.58351893845611,6.94697599213542,0,"35"
"88",2015-09-06,48,1053,88,3.87120101090789,6.95939851213398,0,"36"
"89",2015-09-13,38,1113,89,3.63758615972639,7.01481435127554,0,"37"
"90",2015-09-20,30,1113,90,3.40119738166216,7.01481435127554,0,"38"
"91",2015-09-27,42,1102,91,3.73766961828337,7.00488198971286,0,"39"
"92",2015-10-04,38,1127,92,3.63758615972639,7.02731451403978,0,"40"
"93",2015-10-11,46,1080,93,3.8286413964891,6.98471632011827,0,"41"
"94",2015-10-18,51,1109,94,3.93182563272433,7.01121398735037,0,"42"
"95",2015-10-25,33,1113,95,3.49650756146648,7.01481435127554,0,"43"
"96",2015-11-01,45,1030,96,3.80666248977032,6.93731408122368,0,"44"
"97",2015-11-08,35,1276,97,3.55534806148941,7.15148546390474,0,"45"
"98",2015-11-15,47,1193,98,3.85014760171006,7.08422642209792,0,"46"
"99",2015-11-22,39,1349,99,3.66356164612965,7.20711885620776,0,"47"
"100",2015-11-29,38,1225,100,3.63758615972639,7.11069612297883,0,"48"
"101",2015-12-06,29,1177,101,3.36729582998647,7.07072410726028,0,"49"
"102",2015-12-13,32,1786,102,3.46573590279973,7.48773376143644,0,"50"
"103",2015-12-20,36,1496,103,3.58351893845611,7.31055015853442,0,"51"
"104",2015-12-27,34,1089,104,3.52636052461616,6.99301512293296,0,"52"
"105",2016-01-03,33,1284,105,3.49650756146648,7.15773548424991,0,"1"
"106",2016-01-10,48,1210,106,3.87120101090789,7.09837563859079,0,"2"
"107",2016-01-17,40,1171,107,3.68887945411394,7.06561336359772,0,"3"
"108",2016-01-24,41,1360,108,3.71357206670431,7.2152399787301,0,"4"
"109",2016-01-31,51,1528,109,3.93182563272433,7.33171496972647,0,"5"
"110",2016-02-07,38,981,110,3.63758615972639,6.88857245956536,0,"6"
"111",2016-02-14,34,970,111,3.52636052461616,6.87729607149743,0,"7"
"112",2016-02-21,42,943,112,3.73766961828337,6.84906628263346,0,"8"
"113",2016-02-28,46,886,113,3.8286413964891,6.78671695060508,0,"9"
"114",2016-03-06,31,927,114,3.43398720448515,6.83195356556585,0,"10"
"115",2016-03-13,39,1010,115,3.66356164612965,6.9177056098353,0,"11"
"116",2016-03-20,41,1084,116,3.71357206670431,6.98841318199959,0,"12"
"117",2016-03-27,43,1036,117,3.76120011569356,6.94312242281943,0,"13"
"118",2016-04-03,40,976,118,3.68887945411394,6.88346258641309,0,"14"
"119",2016-04-10,48,1089,119,3.87120101090789,6.99301512293296,0,"15"
"120",2016-04-17,50,1026,120,3.91202300542815,6.93342302573071,0,"16"
"121",2016-04-24,43,1012,121,3.76120011569356,6.91968384984741,0,"17"
"122",2016-05-01,30,1088,122,3.40119738166216,6.99209642741589,0,"18"
"123",2016-05-08,45,1121,123,3.80666248977032,7.02197642307216,0,"19"
"124",2016-05-15,47,1059,124,3.85014760171006,6.96508034560141,0,"20"
"125",2016-05-22,33,1097,125,3.49650756146648,7.00033446027523,0,"21"
"126",2016-05-29,58,1056,126,4.06044301054642,6.96224346426621,0,"22"
"127",2016-06-05,41,1061,127,3.71357206670431,6.96696713861398,0,"23"
"128",2016-06-12,38,1125,128,3.63758615972639,7.02553831463852,0,"24"
"129",2016-06-19,42,1157,129,3.73766961828337,7.05358572719368,0,"25"
"130",2016-06-26,50,1062,130,3.91202300542815,6.96790920180188,0,"26"
"131",2016-07-03,36,978,131,3.58351893845611,6.88550967003482,0,"27"
"132",2016-07-10,46,1104,132,3.8286413964891,7.00669522683704,0,"28"
"133",2016-07-17,43,1138,133,3.76120011569356,7.03702761468628,0,"29"
"134",2016-07-24,48,1034,134,3.87120101090789,6.94119005506837,0,"30"
"135",2016-07-31,48,1097,135,3.87120101090789,7.00033446027523,0,"31"
"136",2016-08-07,41,1117,136,3.71357206670431,7.0184017990692,0,"32"
"137",2016-08-14,45,1153,137,3.80666248977032,7.05012252026906,0,"33"
"138",2016-08-21,40,1106,138,3.68887945411394,7.00850518208228,0,"34"
"139",2016-08-28,34,1192,139,3.52636052461616,7.0833878476253,0,"35"
"140",2016-09-04,37,1130,140,3.61091791264422,7.02997291170639,0,"36"
"141",2016-09-11,41,1233,141,3.71357206670431,7.11720550316434,0,"37"
